Site,Date,Latitude,Longitude,Biscuit skate,Broadnose sevengill shark,Bronze whaler,Dark shyshark,Eagle ray,Leopard catshark,Lesser guitarfish,Puffadder shyshark,Pyjama shark,Short-tail stingray,Shortnose spurdog,Smooth hammerhead shark,Smooth-hound shark,Soupfin shark,Spearnose skate,Spotted-gully shark,St. Joseph shark,Tiger catshark
A10B,29/07/2016,-34.4142,19.1115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A11,29/07/2016,-34.4399,19.1461,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
A12,29/07/2016,-34.43691,19.1419,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
A12,11/04/2017,-34.43691,19.1419,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A13,29/07/2016,-34.43293,19.14573,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0
A13,04/07/2017,-34.43293,19.14573,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0
A13,05/04/2018,-34.43293,19.14573,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A14,11/04/2017,-34.429873,19.15054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
A14,04/07/2017,-34.429873,19.15054,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1
A15,03/07/2017,-34.43239,19.15821,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
A15,05/04/2018,-34.43239,19.15821,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
A16,29/07/2016,-34.42443,19.16587,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A16,11/04/2017,-34.42443,19.16587,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A16,04/07/2017,-34.42443,19.16587,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A16,05/04/2018,-34.42443,19.16587,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
A17,29/07/2016,-34.42417,19.15755,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A17,11/04/2017,-34.42417,19.15755,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A17,04/07/2017,-34.42417,19.15755,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A18,29/07/2016,-34.4324,19.1275,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A19,29/07/2016,-34.42394,19.12781,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A19,11/04/2017,-34.42394,19.12781,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
A2,04/07/2017,-34.39493,19.11724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A20,26/10/2016,-34.41812,19.12012,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A20,11/04/2017,-34.41812,19.12012,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A20,01/09/2017,-34.41812,19.12012,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A21,29/07/2016,-34.4272,19.1182,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A3,29/07/2016,-34.4017,19.11019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A3,11/04/2017,-34.4017,19.11019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A3,04/07/2017,-34.4017,19.11019,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
A4,29/07/2016,-34.4086,19.09452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5,26/10/2016,-34.40832,19.10923,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6,26/10/2016,-34.41415,19.11148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6,04/07/2017,-34.41415,19.11148,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A8,29/07/2016,-34.43242,19.1275,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A8,11/04/2017,-34.43242,19.1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A8,01/09/2017,-34.43242,19.1275,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A9B,29/07/2016,-34.4272,19.1321,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
B1,26/10/2016,-34.4268,19.17771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1,21/04/2017,-34.4268,19.17771,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B1,07/03/2018,-34.4268,19.17771,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B12A,20/10/2016,-34.44311,19.21939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,20/10/2016,-34.44716,19.20303,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
B13,21/04/2017,-34.44716,19.20303,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
B13,05/04/2018,-34.44716,19.20303,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B16,20/10/2016,-34.44481,19.2334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B16,21/04/2017,-34.44481,19.2334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B16,12/07/2017,-34.44481,19.2334,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2
B16,05/04/2018,-34.44481,19.2334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B17,20/10/2016,-34.43367,19.23161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B17,21/04/2017,-34.43367,19.23161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
B17,31/07/2017,-34.43367,19.23161,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B17,05/04/2018,-34.43367,19.23161,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,20/10/2016,-34.43914,19.23576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,12/07/2017,-34.43914,19.23576,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
B18,07/03/2018,-34.43914,19.23576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B19,21/04/2017,-34.44735,19.24121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B19,12/07/2017,-34.44735,19.24121,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
B2,06/10/2016,-34.4345,19.16653,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2,21/04/2017,-34.4345,19.16653,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B4,21/04/2017,-34.4459,19.15983,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
B4,03/07/2017,-34.4459,19.15983,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
B7,26/10/2016,-34.44906,19.17839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B8,26/10/2016,-34.43208,19.18955,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B8,21/04/2017,-34.43208,19.18955,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B8,07/03/2018,-34.43208,19.18955,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C1,21/04/2017,-34.4652,19.24499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,12/07/2017,-34.4652,19.24499,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C11,27/07/2016,-34.486,19.2455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12,27/07/2016,-34.4921,19.2521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C1A,22/09/2016,-34.4508,19.2217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2,27/07/2016,-34.476,19.2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,25/07/2016,-34.46727,19.22419,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
C4,21/04/2017,-34.46905,19.25068,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4A,22/09/2016,-34.4483,19.2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C6A,22/09/2016,-34.4456,19.1856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7,25/07/2016,-34.47578,19.25442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D1,13/09/2016,-34.4977,19.2815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D10,27/10/2016,-34.55933,19.30357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D10,15/05/2017,-34.55933,19.30357,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
D10,11/01/2018,-34.55933,19.30357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D11,25/08/2016,-34.57521,19.3126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D11,18/01/2017,-34.57521,19.3126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D11,11/01/2018,-34.57521,19.3126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D12,25/08/2016,-34.59321,19.32164,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0
D12,18/01/2017,-34.59321,19.32164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D12,15/05/2017,-34.59321,19.32164,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3
D12,11/01/2018,-34.59321,19.32164,0,0,0,1,0,1,0,7,2,0,0,0,0,0,0,0,0,0
D13,25/08/2016,-34.57463,19.3331,0,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0
D13,18/01/2017,-34.57463,19.3331,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0
D13,15/05/2017,-34.57463,19.3331,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0
D13,11/01/2018,-34.57463,19.3331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D14,25/08/2016,-34.58799,19.32969,0,0,0,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0
D14,18/01/2017,-34.58799,19.32969,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0
D14,15/05/2017,-34.58799,19.32969,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0
D14,11/01/2018,-34.58799,19.32969,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0
D15,25/08/2016,-34.56244,19.33177,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
D15,18/01/2017,-34.56244,19.33177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D15,15/05/2017,-34.56244,19.33177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D16,27/10/2016,-34.5518,19.32353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D16,15/05/2017,-34.5518,19.32353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D16,11/01/2018,-34.5518,19.32353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D17,15/05/2017,-34.54177,19.3127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D17,11/01/2018,-34.54177,19.3127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D18,25/08/2016,-34.55826,19.3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D18,15/05/2017,-34.55826,19.3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D18,11/01/2018,-34.55826,19.3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D19,15/05/2017,-34.56097,19.31528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D20,15/05/2017,-34.53692,19.30196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D9,11/01/2018,-34.54555,19.304416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1,24/02/2017,-34.50236008,19.34161501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E1,17/05/2017,-34.50236008,19.34161501,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
E10,17/02/2017,-34.537572,19.350699,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E10,15/05/2017,-34.537572,19.350699,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E10,24/01/2018,-34.537572,19.350699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E11,17/02/2017,-34.539124,19.357785,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
E11,15/05/2017,-34.539124,19.357785,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
E11,24/01/2018,-34.539124,19.357785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E12,23/05/2017,-34.47555567,19.31112971,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
E12,12/06/2018,-34.47555567,19.31112971,0,0,0,0,0,2,0,9,6,0,0,0,0,1,0,0,0,0
E13,17/02/2017,-34.51967,19.35329,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
E13,17/05/2017,-34.51967,19.35329,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
E13,24/01/2018,-34.51967,19.35329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E14,17/02/2017,-34.526048,19.357881,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
E14,17/05/2017,-34.526048,19.357881,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
E15,17/02/2017,-34.528132,19.351615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
E15,17/05/2017,-34.528132,19.351615,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
E15,24/01/2018,-34.528132,19.351615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E16,17/02/2017,-34.53363,19.356721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E16,17/05/2017,-34.53363,19.356721,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
E17,13/02/2017,-34.5004897,19.31484098,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E17,17/05/2017,-34.5004897,19.31484098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E18,17/05/2017,-34.5118795,19.31919772,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
E18,12/06/2018,-34.5118795,19.31919772,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1
E19,17/02/2017,-34.517886,19.333751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E19,17/05/2017,-34.517886,19.333751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E19,24/01/2018,-34.517886,19.333751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2,24/02/2017,-34.492088,19.343179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2,17/05/2017,-34.492088,19.343179,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
E20,24/02/2017,-34.50156,19.33372,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
E20,17/05/2017,-34.50156,19.33372,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
E20,12/06/2018,-34.50156,19.33372,0,0,0,0,0,2,0,2,7,1,0,0,0,0,0,0,0,0
E3,17/02/2017,-34.517287,19.34328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3,17/05/2017,-34.517287,19.34328,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
E4,24/02/2017,-34.494141,19.333903,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
E4,17/05/2017,-34.494141,19.333903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E5,13/02/2017,-34.47300985,19.31605562,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
E5,26/05/2017,-34.47300985,19.31605562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5,12/06/2018,-34.47300985,19.31605562,0,0,0,0,0,1,0,5,4,0,0,0,0,1,0,0,0,0
E6,17/02/2017,-34.531091,19.33705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E6,17/05/2017,-34.531091,19.33705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E6,24/01/2018,-34.531091,19.33705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E7,17/05/2017,-34.524958,19.340608,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E7,24/01/2018,-34.524958,19.340608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
E8,17/02/2017,-34.54043,19.339306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E8,15/05/2017,-34.54043,19.339306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E9,17/02/2017,-34.543079,19.347299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E9,15/05/2017,-34.543079,19.347299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E9,24/01/2018,-34.543079,19.347299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,07/02/2017,-34.42173,19.28935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,13/05/2017,-34.42173,19.28935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F10,24/02/2017,-34.45506082,19.29033436,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
F10,28/07/2017,-34.45506082,19.29033436,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
F10,14/02/2018,-34.45506082,19.29033436,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F11,26/05/2017,-34.45753,19.31536,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F11,14/02/2018,-34.45753,19.31536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F12,13/02/2017,-34.453922,19.321057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F12,26/05/2017,-34.453922,19.321057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F13,13/02/2017,-34.4484,19.311602,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
F13,23/05/2017,-34.4484,19.311602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
F13,14/02/2018,-34.4484,19.311602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F14,01/02/2017,-34.44221,19.29547,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F14,28/07/2017,-34.44221,19.29547,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F15,07/02/2017,-34.42418,19.29604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F17,24/02/2017,-34.4433,19.28204,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
F17,13/05/2017,-34.4433,19.28204,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F18,26/05/2017,-34.45914,19.30769,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F18,14/02/2018,-34.45914,19.30769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F19,01/02/2017,-34.42852,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F19,23/05/2017,-34.42852,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F19,01/11/2017,-34.42852,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F19,05/06/2018,-34.42852,19.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F2,01/02/2017,-34.43382,19.25385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F2,23/05/2017,-34.43382,19.25385,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
F2,06/02/2018,-34.43382,19.25385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F2,05/06/2018,-34.43382,19.25385,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
F20,07/02/2017,-34.46332325,19.28584843,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
F20,28/07/2017,-34.46332325,19.28584843,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F20,14/02/2018,-34.46332325,19.28584843,0,0,0,1,0,2,0,3,4,0,0,0,0,0,0,0,1,0
F20,13/04/2018,-34.46332325,19.28584843,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F20,12/06/2018,-34.46332325,19.28584843,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
F3,01/02/2017,-34.43379,19.26473,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
F3,01/11/2017,-34.43379,19.26473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3,06/02/2018,-34.43379,19.26473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3,13/04/2018,-34.43379,19.26473,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F3,04/05/2018,-34.43379,19.26473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F5,24/02/2017,-34.43749,19.27114,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1
F5,01/11/2017,-34.43749,19.27114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F6,01/02/2017,-34.4364,19.28265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F6,13/05/2017,-34.4364,19.28265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,07/02/2017,-34.4640556,19.29125521,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
