Site,Date,Time_hours,WaterTemp,WindDir,WindSpeed,AirPressure,Vis_Code,Depth,Habitat,Month,Year,Day,StudyYear,Protection,Region,Total_Time,Season
A10B,29/07/2016,11.28333333,15,S,14.8,1022,2,32,Rocky reef,7,2016,29,1,Unprotected,Walker Bay,56.61666667,Winter-Spring
A11,29/07/2016,8.166666667,14.3,Variable,3.7,1021,1,44,Rocky reef,7,2016,29,1,Unprotected,Walker Bay,55.15,Winter-Spring
A12,29/07/2016,8.25,15,Variable,3.7,1021,2,43,Rocky reef,7,2016,29,1,Unprotected,Walker Bay,57.06666667,Winter-Spring
A12,11/04/2017,12.23333333,18,ESE,13,1016,4,45,Sand,4,2017,11,1,Unprotected,Walker Bay,66.18333333,Summer-Fall
A13,29/07/2016,8.333333333,15,Variable,3.7,1021,2,38,Rocky reef,7,2016,29,1,Unprotected,Walker Bay,59.65,Winter-Spring
A13,04/07/2017,11.25,14.17,W,2,1022,2,43,Rocky reef,7,2017,4,1,Unprotected,Walker Bay,62.95,Winter-Spring
A13,05/04/2018,8.1,11.7,NW,22,1008.6,3,34,Rocky reef,4,2018,5,2,Unprotected,Walker Bay,56.46666667,Summer-Fall
A14,11/04/2017,13.86666667,18,SSE,16,1014,3,37,Sand,4,2017,11,1,Unprotected,Walker Bay,60.01666667,Summer-Fall
A14,04/07/2017,11.33333333,15,SW,6,1022,1,40,Sand,7,2017,4,1,Unprotected,Walker Bay,66.56666667,Winter-Spring
A15,03/07/2017,11.5,15.58,SE,6,1027,1,40,Rocky reef,7,2017,3,1,Unprotected,Walker Bay,65.28333333,Winter-Spring
A15,05/04/2018,9.716666667,12,NW,22,1008.6,2,31,Rocky reef,4,2018,5,2,Unprotected,Walker Bay,63.81666667,Summer-Fall
A16,29/07/2016,8.783333333,15,Variable,3.7,1021,3,11,Kelp,7,2016,29,1,Unprotected,Walker Bay,74.26666667,Winter-Spring
A16,11/04/2017,14.4,18,SSE,16,1014,2,11,Rocky reef,4,2017,11,1,Unprotected,Walker Bay,59.26666667,Summer-Fall
A16,04/07/2017,11.5,14.17,SW,6,1022,3,11,Kelp,7,2017,4,1,Unprotected,Walker Bay,77.65,Winter-Spring
A16,05/04/2018,9.6,12.6,NW,22,1008.6,3,13,Kelp,4,2018,5,2,Unprotected,Walker Bay,62.06666667,Summer-Fall
A17,29/07/2016,8.666666667,15,Variable,3.7,1021,3,13,Rocky reef,7,2016,29,1,Unprotected,Walker Bay,58.76666667,Winter-Spring
A17,11/04/2017,14.2,18,SSE,16,1014,3,16,Rocky reef,4,2017,11,1,Unprotected,Walker Bay,61.26666667,Summer-Fall
A17,04/07/2017,11.41666667,14.17,SW,6,1022,3,14,Rocky reef,7,2017,4,1,Unprotected,Walker Bay,72.8,Winter-Spring
A18,29/07/2016,11.13333333,15,S,24.1,1022,2,26,Rocky reef,7,2016,29,1,Unprotected,Walker Bay,55.81666667,Winter-Spring
A19,29/07/2016,10.75,13.3,S,14.8,1022,3,11,Kelp,7,2016,29,1,Unprotected,Walker Bay,56.3,Winter-Spring
A19,11/04/2017,12,18,ESE,13,1016,4,17,Kelp,4,2017,11,1,Unprotected,Walker Bay,65.25,Summer-Fall
A2,04/07/2017,13.33333333,14.17,SW,11,1021,2,7,Sand,7,2017,4,1,Unprotected,Walker Bay,54.33333333,Winter-Spring
A20,26/10/2016,8.95,22.46,Variable,3.7,1009,3,10,Kelp,10,2016,26,1,Unprotected,Walker Bay,58.75,Winter-Spring
A20,11/04/2017,11.65,18,ESE,13,1016,3,10,Kelp,4,2017,11,1,Unprotected,Walker Bay,68.01666667,Summer-Fall
A20,01/09/2017,10.75,14.58,SE,18,1027,4,8,Kelp,9,2017,1,2,Unprotected,Walker Bay,63.83333333,Winter-Spring
A21,29/07/2016,NA,15,S,14.8,1022,2,31,Rocky reef,7,2016,29,1,Unprotected,Walker Bay,54.01666667,Winter-Spring
A3,29/07/2016,13.13333333,14,SSE,22.2,1022,2,22,Sand,7,2016,29,1,Unprotected,Walker Bay,62.63333333,Winter-Spring
A3,11/04/2017,9.583333333,18,E,14,1017,1,25,Sand,4,2017,11,1,Unprotected,Walker Bay,62.98333333,Summer-Fall
A3,04/07/2017,13.5,14.17,SW,11,1021,2,23.5,Sand,7,2017,4,1,Unprotected,Walker Bay,63.63333333,Winter-Spring
